City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
499,samarai,68,PG,1547613685,100,-10.62,150.67,81.09,16.26
500,alibag,0,IN,1547611200,44,18.64,72.88,80.6,3.36
501,benicarlo,20,ES,1547613945,100,40.42,0.43,55.35,12.68
502,harper,90,US,1547613300,90,30.3,-99.24,48.92,9.78
503,alice town,12,BS,1547613946,100,25.72,-79.3,71.1,8.77
504,ellensburg,90,US,1547611080,74,47.0,-120.55,30.92,2.39
505,kurilsk,36,RU,1547613684,100,45.23,147.88,28.44,23.42
506,richards bay,100,ZA,1547613771,100,-28.77,32.06,71.73,14.14
507,moron,80,VE,1547613591,95,10.49,-68.2,65.52,2.84
508,tezu,0,IN,1547613636,35,27.93,96.16,60.57,0.72
509,zhigansk,12,RU,1547613619,0,66.77,123.37,-40.41,5.97
510,marmande,0,FR,1547611200,100,44.5,0.16,26.6,3.36
511,praia,0,BR,1547611200,69,-20.25,-43.81,73.4,6.93
512,itarema,92,BR,1547613453,100,-2.92,-39.92,74.16,3.06
513,sterling,1,US,1547613420,85,39.0,-77.4,26.96,2.73
514,aldan,8,RU,1547613948,0,58.61,125.39,-32.85,3.4
515,kovdor,76,RU,1547613949,76,67.56,30.47,8.73,3.18
516,kalawit,20,PH,1547613949,57,7.91,122.53,85.86,12.35
517,erenhot,0,CN,1547613949,29,43.65,111.97,18.81,14.7
518,nhulunbuy,75,AU,1547611200,62,-12.18,136.78,87.8,5.82
519,santa fe,8,AR,1547613950,92,-31.62,-60.7,67.23,2.73
520,bosaso,40,SO,1547611200,73,11.28,49.18,75.2,5.53
521,rafai,64,CF,1547613950,100,4.95,23.92,69.12,3.18
522,ozernovskiy,36,RU,1547613951,96,51.5,156.52,21.69,10.78
523,bani walid,64,LY,1547613951,73,31.76,14.0,36.63,2.84
524,concepcion del uruguay,32,AR,1547613951,95,-32.48,-58.24,67.14,6.98
525,aranos,0,NA,1547613952,62,-24.14,19.11,70.29,3.06
526,liwale,44,TZ,1547613952,96,-9.8,37.92,73.8,3.18
527,srednekolymsk,24,RU,1547613952,0,67.46,153.71,-32.94,2.51
528,yazman,20,SY,1547613953,96,36.74,38.46,40.68,13.24
529,namanga,88,KE,1547613953,100,-2.55,36.79,63.09,3.96
530,chinchani,0,IN,1547611200,43,16.42,74.53,71.6,6.93
531,dryden,40,CA,1547611200,70,49.79,-92.84,-4.01,8.05
532,havre-saint-pierre,40,CA,1547611200,64,50.23,-63.6,-0.41,10.29
533,sevierville,90,US,1547612100,74,35.87,-83.56,35.6,4.97
534,impfondo,44,CD,1547613955,97,1.62,18.06,70.56,2.17
535,gushikawa,75,JP,1547613000,87,26.35,127.87,60.8,11.41
536,qaqortoq,88,GL,1547610600,79,60.72,-46.03,26.6,3.36
537,norrtalje,0,SE,1547612400,84,59.76,18.7,14.0,2.95
538,bellevue,20,US,1547612100,79,47.61,-122.19,42.98,3.62
539,sechura,44,PE,1547613958,84,-5.56,-80.82,73.44,10.67
540,nelson bay,0,AU,1547611200,46,-32.72,152.14,93.2,10.29
541,ponta delgada,20,PT,1547611200,87,37.73,-25.67,57.2,9.55
542,san cristobal,90,EC,1547611200,100,-0.39,-78.55,55.4,4.7
543,chengzihe,64,CN,1547613959,43,45.35,131.0,11.52,10.0
544,jinchang,0,CN,1547613959,84,38.52,102.19,21.69,1.61
545,san andres,64,PH,1547613777,96,13.32,122.68,80.46,20.29
546,timra,0,SE,1547612400,84,62.49,17.33,6.8,2.24
547,zyryanskoye,68,RU,1547613960,73,56.83,86.62,12.42,3.06
548,warrnambool,80,AU,1547613680,79,-38.38,142.48,69.66,8.66
549,kloulklubed,75,PW,1547610600,74,7.04,134.26,84.2,14.99
550,soligalich,64,RU,1547613960,85,59.08,42.29,21.24,13.13
551,beira,92,ES,1547611200,76,43.2,-8.36,51.8,3.36
552,porecatu,0,BR,1547611200,73,-22.75,-51.38,78.8,3.36
553,isiolo,100,KE,1547613961,89,0.35,37.58,71.19,3.62
554,beyneu,76,KZ,1547613962,98,45.32,55.19,26.46,18.5
555,luang prabang,88,LA,1547613962,91,19.89,102.14,66.24,2.28
556,gangapur,0,IN,1547613963,55,19.7,75.01,77.31,5.08
